11 -22.974443 -43.274406 0 0.0 0.7498344634052367 0.07448516336936083 0.02246064499125676  974 0.935 686 0.916 624 0.916 1317 0.958 814 0.959 915 0.935
12 -22.922314 -43.313112 0 0.01242112450707119 0.7825502492873029 0.029744130072594584 0.15723626590315465  316 0.916 361 0.936 1202 0.959 29 0.959 105 0.916 828 0.936
13 -22.834141 -43.301773 0 0.11333483157421834 0.006399337133145589 0.6949339112441396 1.2558421908860307  237 0.959 1082 0.917 1109 0.937 1513 0.936 888 0.917 338 0.959
14 -22.991173 -43.646710 0 0.0 0.5000967522586398 0.3045727459008808 0.10532928189409586  778 0.958 629 0.936 728 0.883 1119 0.936 126 0.915 1075 0.872
15 -22.885162 -43.610305 0 0.026467856905201557 0.33557874839512175 0.45065759175157144 0.37000815927155917  308 0.937 621 0.937 56 0.958 911 0.958 659 0.916 1172 0.916
16 -22.853468 -43.336043 0 0.01303482606295277 0.21083927562267948 0.5869250555194421 1.0585436475898844  1380 0.917 1381 0.959 529 0.959 1383 0.917 905 0.936 1525 0.936
17 -22.824893 -43.489476 0 0.0 0.728855964928189 0.0 0.41972652908463187  250 0.810 826 0.882 637 0.907 1406 0.948
18 -22.930228 -43.368626 0 0.1455161952725163 0.007883870928468652 0.6690103608619505 0.5858033864852416  1045 0.959 667 0.936 1102 0.916 1504 0.959 714 0.936 767 0.916
19 -22.981892 -43.529698 0 0.0 0.778555657268311 0.04544548798869224 0.05967752418005662  1166 0.958 104 0.915 718 0.958 228 0.915 1358 0.936 664 0.936
20 -22.943481 -43.209114 0 0.00022841711019536186 0.6575441537585507 0.16686171132957392 0.6024727552728342  1382 0.959 89 0.935 1369 0.935 1127 0.916 1283 0.959 832 0.916
21 -22.859573 -43.277798 0 0.03152695749172768 0.1397543770788963 0.6443584575502534 1.757375696642655  561 0.936 519 0.936 1342 0.959 831 0.959 996 0.917 359 0.917
22 -22.901943 -43.678316 0 0.0 0.33054743224605676 0.2931568305389158 0.13162093454926227  1133 0.916 860 0.958 379 0.958 1314 0.937 1129 0.915 458 0.937
23 -22.839176 -43.286528 0 0.12256447265971296 1.6008929451687996e-06 0.6973232762997517 0.9079645968268462  1266 0.959 1125 0.917 1513 0.959 1451 0.936 501 0.917 338 0.936
24 -22.985816 -43.253162 0 0.00302017582468029 0.5199348958037341 0.3011311133518787 2.5927908180014003  172 0.958 1575 0.916 1026 0.935 255 0.935 258 0.916 1064 0.958
25 -23.040567 -43.537278 0 0.0 0.8134745764119555 0.010030730509027077 0.0016960017354552476  816 0.889 133 0.914 435 0.914 1558 0.958 177 0.935 593 0.958
26 -22.817181 -43.233758 0 0.06689825573900732 0.30971030590589593 0.4417101641797052 0.09199797785648255  1274 0.917 1468 0.959 450 0.916 117 0.937 1589 0.959
27 -22.846446 -43.489522 0 0.11632835814985916 0.2951995023239755 0.39415632652892363 0.43132450201564554  448 0.959 30 0.916 380 0.959 590 0.937 165 0.917 1392 0.937
28 -22.852998 -43.535773 0 0.019629468486680568 0.23492636360633765 0.5093343307085941 0.20896649024803624  849 0.916 582 0.937 1303 0.916 1388 0.959 422 0.937 870 0.959
29 -22.923635 -43.322364 0 0.0 0.7678021531444622 0.05420110534150575 0.13937956177307376  316 0.936 12 0.959 1543 0.916 976 0.936 1576 0.959 828 0.916
30 -22.854123 -43.492781 0 0.08738064659679412 0.011340677506677582 0.7263760470536326 0.47514909998275245  27 0.916 618 0.959 380 0.937 332 0.937 590 0.959 467 0.916
31 -22.948502 -43.193865 0 0.03726537096941579 0.4251118876926323 0.3622285479815467 1.294130643377809  907 0.948 1382 0.935 89 0.959 631 0.916 1536 0.935 33 0.916
